1;2010-01-01T20:00:00.0000000;101
1;2010-01-01T20:03:00.0000000;102
1;2010-01-01T20:06:00.0000000;103
1;2010-02-01T20:09:00.0000000;104
1;2010-02-01T20:12:00.0000000;105
1;2010-02-01T20:13:00.0000000;106
1;2010-03-01T20:15:00.0000000;107
1;2010-03-01T20:18:00.0000000;108
1;2010-03-01T20:19:00.0000000;109

2;2010-01-01T20:01:00.0000000;109
2;2010-01-01T20:04:00.0000000;108
2;2010-01-01T20:07:00.0000000;107
2;2010-02-01T20:10:00.0000000;106
2;2010-02-01T20:13:00.0000000;105
2;2010-02-01T20:16:00.0000000;104
2;2010-03-01T20:17:00.0000000;103
2;2010-03-01T20:19:00.0000000;102
2;2010-03-01T20:20:00.0000000;101

3;2010-01-01T20:02:00.0000000;100
3;2010-01-01T20:05:00.0000000;100
3;2010-01-01T20:08:00.0000000;100
3;2010-02-01T20:11:00.0000000;100
3;2010-02-01T20:14:00.0000000;100
3;2010-02-01T20:17:00.0000000;100
3;2010-03-01T20:20:00.0000000;100
3;2010-03-01T20:21:00.0000000;100
3;2010-03-01T20:22:00.0000000;100
